"ADDRESS_DETAIL_PID","STREET_LOCALITY_PID","LOCALITY_PID","BUILDING_NAME","LOT_NUMBER_PREFIX","LOT_NUMBER","LOT_NUMBER_SUFFIX","FLAT_TYPE","FLAT_NUMBER_PREFIX","FLAT_NUMBER","FLAT_NUMBER_SUFFIX","LEVEL_TYPE","LEVEL_NUMBER_PREFIX","LEVEL_NUMBER","LEVEL_NUMBER_SUFFIX","NUMBER_FIRST_PREFIX","NUMBER_FIRST","NUMBER_FIRST_SUFFIX","NUMBER_LAST_PREFIX","NUMBER_LAST","NUMBER_LAST_SUFFIX","STREET_NAME","STREET_CLASS_CODE","STREET_CLASS_TYPE","STREET_TYPE_CODE","STREET_SUFFIX_CODE","STREET_SUFFIX_TYPE","LOCALITY_NAME","STATE_ABBREVIATION","POSTCODE","CONFIDENCE","ALIAS_PRINCIPAL","PRIMARY_SECONDARY","LEGAL_PARCEL_ID","DATE_CREATED"
"GANSW704331293","NSW2898499","NSW832","","","3","","","",0.0,"","","",0.0,"","",53.0,"","",0.0,"","MURRAY FARM","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","3//DP237393","2008-04-19"
"GANSW704339844","NSW2885314","NSW832","","","5","","","",0.0,"","","",0.0,"","",350.0,"","",0.0,"","NORTH ROCKS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2151",2.0,"P","","5//DP233450","2008-04-19"
"GANSW704329005","NSW2878930","NSW832","","","3","","","",0.0,"","","",0.0,"","",11.0,"","",0.0,"","KEELER","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","3//DP20260","2008-04-19"
"GANSW704337127","NSW2932152","NSW832","","","25","","","",0.0,"","","",0.0,"","",52.0,"","",0.0,"","BELLEVUE","C","CONFIRMED","DRIVE","","","CARLINGFORD","NSW","2118",2.0,"P","","25//DP220601","2008-04-19"
"GANSW704338974","NSW2831177","NSW832","","","1","","","",0.0,"","","",0.0,"","",33.0,"","",0.0,"","DONALD","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","1//DP35555","2008-04-19"
"GANSW704334004","NSW2915027","NSW832","","","33","","","",0.0,"","","",0.0,"","",33.0,"","",0.0,"","WOODSTOCK","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","33//DP221357","2008-04-20"
"GANSW715379687","NSW2869674","NSW832","","","22","","UNIT","",22.0,"","","",0.0,"","",21.0,"","",25.0,"","JENKINS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","S","22//SP67006","2011-04-08"
"GANSW704313532","NSW2843212","NSW832","","","52","","","",0.0,"","","",0.0,"","",12.0,"","",0.0,"","CUDAL","C","CONFIRMED","PLACE","","","CARLINGFORD","NSW","2118",2.0,"P","","52//DP250506","2008-04-19"
"GANSW704336002","NSW2903814","NSW832","","","80","","","",0.0,"","","",0.0,"","",46.0,"","",0.0,"","PARKLAND","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","80//DP232652","2008-04-19"
"GANSW704336756","NSW2880145","NSW832","","","9","","","",0.0,"","","",0.0,"","",5.0,"","",0.0,"","HOLLISTER","C","CONFIRMED","PLACE","","","CARLINGFORD","NSW","2118",2.0,"P","","9//DP238414","2008-04-19"
"GANSW704332964","NSW2810374","NSW832","","","3","","","",0.0,"","","",0.0,"","",83.0,"A","",0.0,"","BAKER","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","3//DP840200","2008-04-19"
"GANSW704322561","NSW2854301","NSW832","","","16","","","",0.0,"","","",0.0,"","",21.0,"","",0.0,"","FERNDALE","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","16//DP245750","2008-04-19"
"GANSW704329054","NSW2878930","NSW832","","","21","","","",0.0,"","","",0.0,"","",65.0,"B","",0.0,"","KEELER","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",1.0,"P","","21//DP877633","2008-04-19"
"GANSW704336682","NSW2940430","NSW832","","","55","","","",0.0,"","","",0.0,"","",33.0,"","",0.0,"","EBONY","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","55//DP236660","2008-04-20"
"GANSW704313517","NSW2829090","NSW832","","","24","","","",0.0,"","","",0.0,"","",1.0,"","",0.0,"","BUCKLAND","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","24//DP251044","2008-04-20"
"GANSW706620365","NSW2876504","NSW832","","","1632","","","",0.0,"","","",0.0,"","",2.0,"","",0.0,"","MCKILLOP","C","CONFIRMED","PLACE","","","CARLINGFORD","NSW","2118",2.0,"P","P","1632//DP214707","2007-01-11"
"GANSW704325141","NSW2820050","NSW832","","","13","","","",0.0,"","","",0.0,"","",90.0,"","",0.0,"","BRADLEY","C","CONFIRMED","DRIVE","","","CARLINGFORD","NSW","2118",2.0,"P","","13//DP228219","2008-04-19"
